Exposure (mins),Sample 1,Sample 2,Sample 3,Sample 4,Sample 5 ,Sample 6,Sample 7,Sample 8
0.078257134,1.11E-11,9.96E-16,2.25E-28,1.97E-24,6.91E-11,3.70E-13,1.66E-27,1.51E-11
0.079838033,5.09E-11,6.60E-15,1.02E-26,4.28E-23,2.47E-10,1.91E-12,8.22E-26,5.51E-11
0.081450869,2.21E-10,4.18E-14,4.08E-25,8.55E-22,8.51E-10,9.33E-12,3.59E-24,1.94E-10
0.083096285,9.07E-10,2.52E-13,1.45E-23,1.57E-20,2.83E-09,4.33E-11,1.38E-22,6.62E-10
0.084774942,3.51E-09,1.44E-12,4.56E-22,2.62E-19,9.02E-09,1.90E-10,4.64E-21,2.18E-09
0.086487509,1.28E-08,7.82E-12,1.26E-20,4.00E-18,2.76E-08,7.85E-10,1.36E-19,6.88E-09
0.088234673,4.39E-08,4.00E-11,3.07E-19,5.54E-17,8.09E-08,3.06E-09,3.45E-18,2.09E-08
0.090017131,1.41E-07,1.93E-10,6.53E-18,6.93E-16,2.27E-07,1.12E-08,7.58E-17,6.06E-08
0.091835598,4.28E-07,8.74E-10,1.21E-16,7.84E-15,6.06E-07,3.87E-08,1.44E-15,1.69E-07
0.0936908,1.21E-06,3.71E-09,1.96E-15,7.98E-14,1.54E-06,1.25E-07,2.35E-14,4.48E-07
0.09558348,3.22E-06,1.47E-08,2.76E-14,7.31E-13,3.74E-06,3.78E-07,3.30E-13,1.13E-06
0.097514394,8.03E-06,5.46E-08,3.37E-13,6.00E-12,8.61E-06,1.07E-06,3.99E-12,2.74E-06
0.099484316,1.87E-05,1.89E-07,3.58E-12,4.42E-11,1.88E-05,2.85E-06,4.14E-11,6.29E-06
0.10149403,4.11E-05,6.08E-07,3.31E-11,2.92E-10,3.91E-05,7.09E-06,3.68E-10,1.37E-05
0.10354435,8.44E-05,1.82E-06,2.66E-10,1.72E-09,7.71E-05,1.65E-05,2.82E-09,2.85E-05
0.10563608,0.000163021,5.08E-06,1.86E-09,9.12E-09,0.000144195,3.60E-05,1.86E-08,5.62E-05
0.10777007,0.000296029,1.32E-05,1.14E-08,4.32E-08,0.000255883,7.36E-05,1.06E-07,0.000105354
0.10994717,0.000506221,3.18E-05,6.06E-08,1.84E-07,0.000431025,0.000141202,5.21E-07,0.000187455
0.11216825,0.000816523,7.14E-05,2.83E-07,7.01E-07,0.000689564,0.000254418,2.22E-06,0.00031689
0.1144342,0.0012446,0.000149241,1.16E-06,2.41E-06,0.001048593,0.000431251,8.25E-06,0.00050921
0.11674593,0.001796497,0.000290833,4.22E-06,7.45E-06,0.001517212,0.000688858,2.68E-05,0.00077834
0.11910435,0.002461222,0.000529008,1.35E-05,2.08E-05,0.002091413,0.001038942,7.62E-05,0.001132738
0.12151042,0.003208315,0.000899614,3.85E-05,5.27E-05,0.00275062,0.00148271,0.000191306,0.001571369
0.12396509,0.003989844,0.001433056,9.81E-05,0.000121396,0.00345744,0.00200705,0.000425872,0.002080703
0.12646935,0.004746861,0.002143106,0.000224099,0.000254844,0.00416138,0.002583541,0.000845347,0.002633974
0.1290242,0.005418868,0.003016309,0.000461818,0.000489719,0.004806047,0.003171206,0.001505257,0.003193435
0.13163066,0.005953793,0.004006341,0.000863187,0.00086491,0.005338199,0.003722651,0.002419645,0.003715438
0.13428978,0.006315925,0.00503676,0.001471636,0.001409943,0.00571634,0.004192064,0.003534431,0.004157263
0.13700261,0.006490038,0.006012734,0.002301963,0.002131035,0.005916766,0.004542904,0.004723582,0.004484002
0.13977025,0.006481241,0.006838828,0.003323565,0.003000369,0.005935787,0.004753304,0.005816238,0.004673788
0.1425938,0.006311287,0.007437509,0.004456285,0.003954234,0.005788085,0.004818089,0.006645442,0.004720236
0.14547438,0.006012839,0.007762854,0.005583311,0.00490253,0.005502132,0.004747412,0.007096536,0.004631819
0.14841316,0.005623298,0.00780601,0.006577539,0.005747236,0.005114188,0.00456291,0.007134395,0.004428754
0.1514113,0.005179469,0.007592031,0.007331434,0.006403527,0.004662358,0.004292737,0.006801436,0.004138488
0.15447002,0.004713787,0.007170429,0.007779498,0.006816426,0.004181824,0.003966728,0.006192957,0.003790969
0.15759052,0.004252245,0.006603049,0.007906785,0.006968318,0.003701769,0.003612588,0.0054241,0.003414654
0.16077406,0.003813814,0.005952702,0.007743409,0.006876628,0.003244016,0.003253478,0.004601556,0.003033765
0.16402191,0.003410903,0.005274763,0.007349885,0.006584361,0.002823045,0.002906966,0.003806822,0.002666913
0.16733537,0.003050437,0.004612517,0.006799804,0.006147717,0.002446918,0.00258504,0.003091253,0.002326867
0.17071577,0.002735153,0.003995867,0.006165046,0.005624595,0.002118643,0.002294813,0.002479338,0.002021138
0.17416446,0.002464872,0.003442438,0.00550616,0.005066299,0.001837628,0.00203954,0.00197582,0.001752991
0.17768281,0.002237599,0.002959968,0.004868131,0.004513101,0.00160099,0.001819709,0.001573261,0.001522582
